"","ID","band_num","cohort","caught_as","caught","disappeared","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde"
"1488","725279-RynG","017-25279","1993","Nestling","9-Nov-93","28-Dec-93","Unknown",NA,1,1,"696544-wgMB",NA,"696535-nyMY",NA,"696535-nyMY",NA,"F",0,0,0
"1489","725281-ArnA","017-25281","1993","Nestling","12-Nov-93","19-Jan-94","Dispersedoutside",NA,1,1,"696496-wgNO",2,"696407-BMW",NA,"696407-BMW",NA,"F",0,0,0
"1490","725282-BrnB","017-25282","1993","Nestling","12-Nov-93","12-Jan-94","Unknown",NA,1,1,"696496-wgNO",2,"696407-BMW",NA,NA,NA,"F",0,0,0
"1491","725283-GwbG","017-25283","1993","Nestling","12-Nov-93","19-Nov-93","Died",NA,1,0,"696440-nyRN",2,"626735-WNR",4,"626940-nyOB",2,"F",0,0,0
"1492","725284-NwbN2","017-25284","1993","Nestling","12-Nov-93","19-Nov-93","Died",NA,1,0,"696440-nyRN",2,"626735-WNR",4,"626940-nyOB",2,"M",0,0,0
"1493","725285-RwbR","017-25285","1993","Nestling","12-Nov-93","19-Nov-93","Died",NA,1,0,"696440-nyRN",2,"626735-WNR",4,"626940-nyOB",2,"F",0,0,0
"1494","725286-OarO","017-25286","1993","Nestling","15-Nov-93","3-Feb-94","Unknown",NA,1,1,"596825-MWM",NA,"626670-NBN",4,"596701-GNO",5,"F",0,0,0
"1495","725287-GarG2","017-25287","1993","Nestling","15-Nov-93","20-Nov-93","Died",NA,1,0,"596825-MWM",NA,"626670-NBN",4,"596701-GNO",5,"M",0,0,0
"1496","725288-WarY","017-25288","1993","Nestling","15-Nov-93","20-Jan-94","Unknown",NA,1,1,"596825-MWM",NA,"626670-NBN",4,"725089-RYR",NA,"F",0,0,0
"1497","725289-RynB","017-25289","1993","Nestling","16-Nov-93","20-Dec-93","Unknown",NA,1,1,"696468-brWG",2,"574793-ROR",6,"596738-YYW",5,"F",0,0,0
"1498","725290-MynA","017-25290","1993","Nestling","16-Nov-93","6-Jun-96","Dispersedoutside",NA,1,1,"696468-brWG",2,"574793-ROR",6,"596738-YYW",5,"F",0,0,0
"1499","725291-GrnY","017-25291","1993","Nestling","16-Nov-93","22-Nov-93","Died",NA,1,0,"596664-BBN",NA,"626883-BboG",3,"626883-BboG",3,"F",0,0,0
"1500","725292-NrnN","017-25292","1993","Nestling","16-Nov-93","22-Nov-93","Died",NA,1,0,"596664-BBN",NA,"626883-BboG",NA,"574502-GBN",NA,"F",0,0,0
"1501","725293-OrnA","017-25293","1993","Nestling","16-Nov-93","22-Nov-93","Died",NA,1,0,"596664-BBN",NA,"626883-BboG",3,"574502-GBN",NA,"F",0,0,0
"1502","725294-WrnW","017-25294","1993","Nestling","16-Nov-93","22-Nov-93","Died",NA,1,0,"596664-BBN",NA,"626883-BboG",NA,"574502-GBN",NA,"F",0,0,0
"1503","725296-YrnY","017-25296","1993","Nestling","17-Nov-93","7-Dec-96","Died",6,1,1,"626712-OWO",4,"433376-WNG",6,"433376-WNG",6,"M",1,1,0
"1504","725297-BrnO","017-25297","1993","Nestling","17-Nov-93","9-Nov-94","Dispersedoutside",NA,1,1,"626712-OWO",4,"433376-WNG",6,"626840-WWP",3,"F",0,0,0
"1505","725298-ArnB","017-25298","1993","Nestling","17-Nov-93","5-Jan-94","Unknown",NA,1,1,"626712-OWO",4,"433376-WNG",6,"433376-WNG",6,"F",0,0,0
"1506","725299-BrnY","017-25299","1993","Nestling","17-Nov-93","5-Dec-93","Died",NA,1,0,"725196-MOM",NA,"725086-MRG",NA,"725088-AOC",NA,"M",0,0,0
"1507","725300-NrnA","017-25300","1993","Nestling","17-Nov-93","2-Feb-94","Died",NA,1,1,"725196-MOM",NA,"725086-MRG",NA,"725088-AOC",NA,"M",0,0,0
"1508","725301-ArnR2","017-25301","1993","Nestling","17-Nov-93","31-Dec-93","Unknown",NA,1,1,"725196-MOM",NA,"725086-MRG",NA,"725591-RAW",NA,"F",0,0,0
"1509","725302-GarB2","017-25302","1993","Nestling","19-Nov-93","25-Nov-93","Died",NA,1,0,"725028-rwWR",1,"696348-rgRG",2,"696348-rgRG",2,"M",0,0,0
"1510","725303-BarM","017-25303","1993","Nestling","19-Nov-93","25-Nov-93","Died",NA,1,0,"725028-rwWR",1,"696348-rgRG",2,"626928-WOO",NA,"M",0,0,0
"1511","725304-AnaN","017-25304","1993","Nestling","19-Nov-93","22-Nov-93","Died",NA,1,0,"725198-BGO",1,"725192-GRN",NA,"725192-GRN",NA,"F",0,0,0
"1512","725305-BarB2","017-25305","1993","Nestling","20-Nov-93","22-Nov-93","Died",NA,0,0,"568378-BMY2",NA,"653012-gARG",NA,"653012-gARG",NA,"F",0,0,0
"1513","725306-GarN2","017-25306","1993","Nestling","20-Nov-93","22-Nov-93","Died",NA,0,0,"568378-BMY2",NA,"653012-gARG",NA,"653012-gARG",NA,"M",0,0,0
"1514","725307-ArnN","017-25307","1993","Nestling","20-Nov-93","22-Nov-93","Died",NA,0,0,"596751-BWM",5,"543795-RGG",NA,"574502-GBN",NA,"F",0,0,0
"1515","725308-MrnW","017-25308","1993","Nestling","20-Nov-93","22-Nov-93","Died",NA,0,0,"596751-BWM",5,"543795-RGG",NA,"574502-GBN",NA,"M",0,0,0
"1516","725309-YrnA","017-25309","1993","Nestling","20-Nov-93","22-Nov-93","Died",NA,0,0,"596751-BWM",5,"543795-RGG",NA,"574502-GBN",NA,"F",0,0,0
"1517","725310-OynO","017-25310","1993","Nestling","23-Nov-93","26-Nov-93","Died",NA,0,0,"725229-WYN",1,"696485-brNB",2,"696485-brNB",2,"M",0,0,0
"1518","725311-RynR","017-25311","1993","Nestling","23-Nov-93","26-Nov-93","Died",NA,0,0,"725229-WYN",1,"696485-brNB",2,"696485-brNB",2,"F",0,0,0
"1519","725312-AynA2","017-25312","1993","Nestling","23-Nov-93","26-Nov-93","Died",NA,0,0,"725229-WYN",1,"696485-brNB",2,"696485-brNB",2,"F",0,0,0
"1520","725313-ArgA","017-25313","1993","Nestling","23-Nov-93","25-Nov-93","Died",NA,0,0,"529303-BGY",NA,"596830-YOG",4,"596765-GNB",5,"M",0,0,0
"1521","725314-BrgG","017-25314","1993","Nestling","23-Nov-93","25-Nov-93","Died",NA,0,0,"529303-BGY",NA,"596830-YOG",4,NA,NA,"U",0,0,0
"1522","725315-MrgR","017-25315","1993","Nestling","23-Nov-93","25-Nov-93","Died",NA,0,0,"529303-BGY",NA,"596830-YOG",4,"596765-GNB",5,"F",0,0,0
"1523","725316-BrgO","017-25316","1993","Nestling","23-Nov-93","28-Nov-93","Died",NA,1,0,"626713-NWR",NA,"626852-NMW",3,"626852-NMW",3,"M",0,0,0
"1524","725317-GrgA","017-25317","1993","Nestling","23-Nov-93","28-Nov-93","Died",NA,1,0,"626713-NWR",NA,"626852-NMW",3,"626852-NMW",3,"M",0,0,0
"1525","725318-YrgO","017-25318","1993","Nestling","23-Nov-93","28-Nov-93","Died",NA,1,0,"626713-NWR",NA,"626852-NMW",3,"626852-NMW",3,"F",0,0,0
"1526","725319-MynO","017-25319","1993","Nestling","24-Nov-93","25-Nov-93","Died",NA,0,0,"626950-WNW",NA,"626953-MBN",NA,"626953-MBN",NA,"F",0,0,0
"1527","725320-YynA","017-25320","1993","Nestling","24-Nov-93","25-Nov-93","Died",NA,0,0,"626950-WNW",NA,"626953-MBN",NA,"626953-MBN",NA,"F",0,0,0
"1528","725321-OwbA","017-25321","1993","Nestling","25-Nov-93","28-Nov-93","Died",NA,0,0,"725323-MNB",NA,"725324-BMG",NA,"725086-MRG",NA,"M",0,0,0
"1529","725322-GwbW","017-25322","1993","Nestling","25-Nov-93","28-Nov-93","Died",NA,0,0,"725323-MNB",NA,"725324-BMG",NA,"725086-MRG",NA,"F",0,0,0
"1530","725326-OrnY","017-25326","1993","Nestling","26-Nov-93","2-Dec-93","Died",NA,1,0,"725219-BAG",1,"696494-wgBY",2,"725192-GRN",NA,"F",0,0,0
"1531","725327-GrnG","017-25327","1993","Nestling","26-Nov-93","11-Jul-95","Died",6,1,1,"725058-AWB",1,"696521-AOY",NA,"696521-AOY",NA,"M",0,0,0
"1532","725328-MrnB","017-25328","1993","Nestling","26-Nov-93","25-Jan-94","Unknown",NA,1,1,"725058-AWB",1,"696521-AOY",NA,"574504-GRO",NA,"F",0,0,0
"1533","725329-AynG2","017-25329","1993","Nestling","29-Nov-93","1-Aug-94","Died",NA,1,1,"725036-MOO",2,"725037-NOO",NA,"776344-OWN",NA,"F",0,0,0
"1534","725330-YynM2","017-25330","1993","Nestling","29-Nov-93","1-Jul-94","Died",NA,1,1,"725036-MOO",2,"725037-NOO",NA,"776344-OWN",NA,"M",0,0,0
"1535","725331-BynB","017-25331","1993","Nestling","29-Nov-93","23-May-94","Died",NA,1,1,"725036-MOO",2,"725037-NOO",1,"725050-bwOA",1,"M",0,0,0
"1536","725332-WynY","017-25332","1993","Nestling","29-Nov-93","1-Aug-95","Died",6,1,1,"725036-MOO",2,"725037-NOO",NA,NA,NA,"M",0,0,0
"1537","725334-RwbW","017-25334","1993","Nestling","29-Nov-93","30-Nov-93","Died",NA,0,0,"725333-GOB",1,"725041-RMN",1,"725044-AWG",1,"M",0,0,0
"1538","725335-GnaG","017-25335","1993","Nestling","29-Nov-93","13-Jan-94","Unknown",NA,1,1,"696387-brOG",2,"596738-YYW",5,"596738-YYW",5,"F",0,0,0
"1539","725336-MnaM","017-25336","1993","Nestling","29-Nov-93","29-Aug-94","Died",NA,1,1,"696387-brOG",2,"596738-YYW",2,"696503-WYG",2,"M",0,0,0
"1540","725337-BnaB","017-25337","1993","Nestling","29-Nov-93","13-Jan-94","Unknown",NA,1,1,"696387-brOG",2,"596738-YYW",5,"596738-YYW",5,"F",0,0,0
"1541","725338-RnaN","017-25338","1993","Nestling","29-Nov-93","12-Sep-94","Died",NA,1,1,"696387-brOG",2,"596738-YYW",5,"596738-YYW",5,"M",0,0,0
"1542","725339-GrnB","017-25339","1993","Nestling","30-Nov-93","3-Dec-93","Died",NA,0,0,"543762-MMM",NA,"626840-WWP",3,"626840-WWP",3,"M",0,0,0
"1543","725340-NrnR","017-25340","1993","Nestling","30-Nov-93","3-Dec-93","Died",NA,0,0,"543762-MMM",NA,"626840-WWP",3,"433376-WNG",6,"M",0,0,0
"1544","725342-YwbY","017-25342","1993","Nestling","2-Dec-93","23-Jan-94","Unknown",NA,1,1,"543809-ORB",NA,"596765-GNB",5,"626635-WYM",4,"F",0,0,0
"1545","725343-MwbO","017-25343","1993","Nestling","2-Dec-93","30-Dec-93","Unknown",NA,1,0,"543809-ORB",NA,"596765-GNB",5,"596765-GNB",5,"M",0,0,0
"1546","725344-RwbN","017-25344","1993","Nestling","2-Dec-93","29-Dec-95","Died",6,1,1,"543809-ORB",NA,"596765-GNB",5,"596765-GNB",5,"M",0,0,0
"1547","725345-AwbG","017-25345","1993","Nestling","2-Dec-93","11-Aug-97","Died",6,1,1,"543809-ORB",NA,"596765-GNB",5,"596765-GNB",5,"M",1,1,0
"1548","725346-MwbM","017-25346","1993","Nestling","2-Dec-93","2-Feb-94","Unknown",NA,1,1,"696445-wrRG",2,"696525-RAN",2,"696525-RAN",2,"F",0,0,0
"1549","725347-BwbO","017-25347","1993","Nestling","2-Dec-93","25-Jan-94","Unknown",NA,1,1,"696445-wrRG",2,"696525-RAN",2,NA,NA,"F",0,0,0
"1550","725348-YwbG","017-25348","1993","Nestling","2-Dec-93","6-Jun-96","Dispersedoutside",NA,1,1,"696445-wrRG",2,"696525-RAN",2,"696525-RAN",2,"F",0,0,0
"1551","725349-BnaY","017-25349","1993","Nestling","2-Dec-93","14-Dec-93","Died",NA,1,0,"626917-NGW",3,"596701-GNO",5,"626635-WYM",4,"M",0,0,0
"1552","725350-OnaR","017-25350","1993","Nestling","2-Dec-93","14-Dec-93","Died",NA,1,0,"626917-NGW",3,"596701-GNO",5,"626635-WYM",4,"F",0,0,0
"1553","725351-RanB2","017-25351","1993","Nestling","2-Dec-93","20-Jan-94","Unknown",NA,1,1,"626917-NGW",3,"596701-GNO",NA,"626925-MRM",NA,"F",0,0,0
"1554","725352-GanR2","017-25352","1993","Nestling","2-Dec-93","20-Jan-94","Unknown",NA,1,1,"626917-NGW",3,"596701-GNO",5,"626925-MRM",NA,"F",0,0,0
"1555","725353-YbwN2","017-25353","1993","Nestling","3-Dec-93","16-Jun-94","Died",NA,1,1,"725045-CWA",NA,"596620-BCR",5,NA,NA,"M",0,0,0
"1556","725354-BwbR","017-25354","1993","Nestling","3-Dec-93","14-Dec-93","Died",NA,1,0,"725215-BRA",1,"696443-rgWW",2,"696443-rgWW",2,"F",0,0,0
"1557","725355-GwbY","017-25355","1993","Nestling","3-Dec-93","8-Dec-93","Died",NA,1,0,"725215-BRA",1,"696443-rgWW",2,"696443-rgWW",2,"F",0,0,0
"1558","725356-AwbA","017-25356","1993","Nestling","3-Dec-93","8-Dec-93","Died",NA,1,0,"725215-BRA",1,"696443-rgWW",2,"696443-rgWW",2,"M",0,0,0
"1559","725357-OrgO","017-25357","1993","Nestling","6-Dec-93","9-Dec-93","Died",NA,0,0,"725217-MYW",1,"696408-MWB",NA,"696408-MWB",NA,"M",0,0,0
"1560","725358-YrgY","017-25358","1993","Nestling","6-Dec-93","9-Dec-93","Died",NA,0,0,"725217-MYW",1,"696408-MWB",NA,"696408-MWB",NA,"M",0,0,0
"1561","725359-RynA","017-25359","1993","Nestling","6-Dec-93","3-Jan-95","Dispersedoutside",6,1,1,"696499-AOM",2,"725123-grMR",1,"626883-BboG",3,"M",0,0,0
"1562","725360-GynM","017-25360","1993","Nestling","6-Dec-93","26-Sep-95","Died",6,1,1,"696499-AOM",2,"725123-grMR",1,"626883-BboG",3,"M",0,0,0
