ID,band_num,cohort,caught_as,caught,disappeared,fate,outside_area,fledged,independent,mum,Mage,dad_soc,Sage,dad_bio,Bage,sex,LRStot,LRSfledge,LRSinde
A30418-GTG,01A-30418,2013,Nestling,13-Nov-13,17-Nov-13,Died,,0,0,982725-rgNN,2,899199-OgoY,8,899199-OgoY,8,F,0,0,0
A30419-NTR,01A-30419,2013,Nestling,13-Nov-13,17-Nov-13,Died,,0,0,982725-rgNN,2,899199-OgoY,8,A30254-ynMO,1,M,0,0,0
A30420-BrwG2,01A-30420,2013,Nestling,15-Nov-13,18-Nov-13,Died,,0,0,A30335-ANW,1,A30250-ngYN,1,A30250-ngYN,1,F,0,0,0
A30421-NrwR,01A-30421,2013,Nestling,15-Nov-13,18-Nov-13,Died,,0,0,A30335-ANW,1,A30250-ngYN,1,982002-RwbA,4,M,0,0,0
A30422-MTB,01A-30422,2013,Nestling,15-Nov-13,18-Nov-13,Died,,0,0,A30359-ONY,2+,982045-BwgW,4,982045-BwgW,4,M,0,0,0
A30423-YTY2,01A-30423,2013,Nestling,15-Nov-13,18-Nov-13,Died,,0,0,A30359-ONY,2+,982045-BwgW,4,899972-rnWR,5,M,0,0,0
A30424-ATN,01A-30424,2013,Nestling,15-Nov-13,18-Nov-13,Died,,0,0,A30359-ONY,2+,982045-BwgW,4,899972-rnWR,5,F,0,0,0
A30425-GrwB,01A-30425,2013,Nestling,18-Nov-13,27-Nov-13,Died,,1,0,A30333-OBY,1,A30233-ynGW,1,A30233-ynGW,1,F,0,0,0
A30426-NrwM,01A-30426,2013,Nestling,18-Nov-13,27-Nov-13,Died,,1,0,A30333-OBY,1,A30233-ynGW,1,A30233-ynGW,1,F,0,0,0
A30427-RrwR,01A-30427,2013,Nestling,18-Nov-13,27-Nov-13,Died,,1,0,A30333-OBY,1,A30233-ynGW,1,A30233-ynGW,1,F,0,0,0
A30429-GgbW,01A-30429,2013,Nestling,20-Nov-13,29-Nov-13,Died,,1,0,A30307-NNO,1,982068-NwgR,4,A30192-grRY,1,M,0,0,0
A30430-BgbY,01A-30430,2013,Nestling,20-Nov-13,29-Nov-13,Died,,1,0,A30307-NNO,1,982068-NwgR,4,982068-NwgR,4,M,0,0,0
A30431-MynO,01A-30431,2013,Nestling,20-Nov-13,2-Dec-13,Died,,1,0,A30236-grBR,1,898377-onWA,9,982098-GwgY,4,M,0,0,0
A30432-WynG,01A-30432,2013,Nestling,20-Nov-13,2-Dec-13,Died,,1,0,A30236-grBR,1,898377-onWA,9,982098-GwgY,4,F,0,0,0
A30433-YynB,01A-30433,2013,Nestling,20-Nov-13,2-Dec-13,Died,,1,0,A30236-grBR,1,898377-onWA,9,982098-GwgY,4,F,0,0,0
A30434-MgrB,01A-30434,2013,Nestling,22-Nov-13,3-Oct-15,Died,6,1,1,A30428-GAM,1,982419-OwnR,3,A30203-waYN,1,M,0,0,0
A30435-RgrA,01A-30435,2013,Nestling,22-Nov-13,5-Aug-16,Died,6,1,1,A30428-GAM,1,982419-OwnR,3,A30203-waYN,1,M,1,1,1
A30436-YgrO,01A-30436,2013,Nestling,22-Nov-13,4-Aug-14,Unknown,,1,1,A30428-GAM,1,982419-OwnR,3,A30203-waYN,1,M,0,0,0
A30437-GgrA,01A-30437,2013,Nestling,25-Nov-13,13-Jul-15,Died,6,1,1,A30127-ngOW,1,982816-gnAN,2,982816-gnAN,2,M,0,0,0
