"","ID","cohort","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","lifespan","lifespanM","lifespanB","lifespanS","MageM","BageM","SageM","MageREL","BageREL","SageREL","EP","Nest.ID.mother","Jincube","help.cat","incest","weight","weight.age","EPb","WPb","NestID","help.ep"
"4718","982398-BarW",2010,"Died",NA,0,0,"982191-RRN",1,"899656-ogAR",3,"898611-onNM",6,"F",0,0,0,1,3,7,4,1.8,4.52941176470588,1.94444444444444,-0.8,1.47058823529412,1.05555555555556,"yes","RRN_5495",0.513661202185792,"twoPlus","No",8.4,7,1,0,"RRN_5495",NA
"4719","982401-OngR",2010,"Died",NA,1,1,"982166-WRA",1,"899433-ArnY",4,"898592-weNG",6,"M",0,0,0,1,2,9,6,1,4.41025641025641,2.56521739130435,0,1.58974358974359,1.43478260869565,"yes","WRA_5529",0.519125683060109,"one","No",7.3,6,1,0,"WRA_5529",NA
"4720","982402-BngB",2010,"Died",NA,1,1,"982166-WRA",1,"899433-ArnY",4,"898592-weNG",6,"M",0,0,0,1,2,9,6,1,4.41025641025641,2.56521739130435,0,1.58974358974359,1.43478260869565,"yes","WRA_5529",0.519125683060109,"one","No",7.1,6,1,0,"WRA_5529",NA
"4721","982403-MngO",2010,"Died",NA,1,1,"982166-WRA",1,"899433-ArnY",4,"898592-weNG",6,"M",0,0,0,1,2,9,6,1,4.41025641025641,2.56521739130435,0,1.58974358974359,1.43478260869565,"yes","WRA_5529",0.519125683060109,"one","No",7.3,6,1,0,"WRA_5529",NA
"4722","982404-AngA",2010,"Died",NA,1,1,"982166-WRA",1,"899433-ArnY",4,"898592-weNG",6,"F",0,0,0,1,2,9,6,1,4.41025641025641,2.56521739130435,0,1.58974358974359,1.43478260869565,"yes","WRA_5529",0.519125683060109,"one","No",6.2,6,1,0,"WRA_5529",NA
"4723","982405-AarG2",2010,"Died",NA,1,1,"899828-YMA",3,"898559-weWY",6,"899225-MbyG",5,"F",0,0,0,1,6,7,9,2.82352941176471,3.8,6.54545454545455,0.176470588235294,1.2,-0.545454545454546,"yes","YMA_5569",0.530054644808743,"twoPlus","No",7.5,8,1,0,"YMA_5569",NA
"4724","982407-MarN",2010,"Died",6,1,1,"899828-YMA",3,"898559-weWY",6,"899225-MbyG",5,"M",1,1,1,3,6,7,9,2.82352941176471,3.8,6.54545454545455,0.176470588235294,1.2,-0.545454545454546,"yes","YMA_5569",0.530054644808743,"twoPlus","No",7.8,8,1,0,"YMA_5569",NA
"4725","982408-WarY",2010,"Died",NA,1,1,"899828-YMA",3,"898559-weWY",6,"899225-MbyG",5,"M",0,0,0,1,6,7,9,2.82352941176471,3.8,6.54545454545455,0.176470588235294,1.2,-0.545454545454546,"yes","YMA_5569",0.530054644808743,"twoPlus","No",7.7,8,1,0,"YMA_5569",NA
"4726","982409-AngM",2010,"Died",NA,1,0,"982185-YOY",1,"898723-brWB",6,"898723-brWB",6,"F",0,0,0,1,7,8,8,3.6,4.33333333333333,4.35714285714286,-2.6,1.66666666666667,1.64285714285714,"no","YOY_5584",0.530054644808743,"twoPlus","No",7.7,7,0,1,"YOY_5584",NA
"4727","982410-GngW",2010,"Died",NA,1,1,"982185-YOY",1,"898723-brWB",6,"898723-brWB",6,"F",0,0,0,1,7,8,8,3.6,4.33333333333333,4.35714285714286,-2.6,1.66666666666667,1.64285714285714,"no","YOY_5584",0.530054644808743,"twoPlus","No",7,7,0,1,"YOY_5584",NA
